what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364990008807
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1364990016093
started,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1364990016128
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1364990019047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364990042999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364990051799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364990053542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364990056062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364990875856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364990878012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364990902232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364990909920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364991120585
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364991143055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364991193942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364991197068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364991221944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364991225507
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364992062220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364992062673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364992373447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364992377119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364992435981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364992437747
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364992439138
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364992439841
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1364992440825
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1364992440856
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1364992441231
